Project Name/TEST													
Project Type/Forward-Shot													
Shot Offset/5/meter													
Geophone Interval/5/meter													
Trigger Value/0,25/miliVolt													
Data Count/501													
Record Length/500/microSecond													
Comments/TEST													
Time	Channel-1	Channel-2	Channel-3	Channel-4	Channel-5	Channel-6	Channel-7	Channel-8	Channel-9	Channel-10	Channel-11	Channel-12	Channel-13
0	0,030741539	0,086581983	0,066182544	0,072193526	0,011261803	0,060200523	0,053303544	0,097158395	0,068612247	0,049047664	0,06923386	0,074141661	0,054232768
1	0,002202935	0,062343949	0,038220112	0,072564947	0,064184054	0,082208169	0,083323889	0,052162513	0,0987737	0,072120368	0,023247558	0,090535064	0,020910453
2	0,018649396	0,029243106	0,027017624	0,023020508	0,05817374	0,055489242	0,067544526	0,021531017	0,084817158	0,061917074	0,001650394	0,091416755	0,041916044
3	0,06595531	0,004725553	0,035175877	0,089909568	0,049805854	0,073120825	0,055558334	0,040547294	0,00153806	0,086013564	0,020845681	0,069920921	0,024274324
4	0,074169824	0,024657385	0,015526089	0,034252637	0,072643658	0,04643871	0,056584476	0,090775458	0,072723636	0,016778059	0,007160445	0,038766211	0,076326149
5	0,072583929	0,077692598	0,041491764	0,098255618	0,043250896	0,074256496	0,039765956	0,056544788	0,00234713	0,033219001	0,070620222	0,001062411	0,091123824
6	0,080251055	0,082132319	0,071027843	0,059062248	0,076879561	0,025716625	0,027736117	0,020763624	0,098240006	0,013146683	0,034005094	0,050888171	0,039918668
7	0,064234638	0,018215074	0,066423956	0,029782644	0,014683003	0,091730716	0,092511892	0,077967122	0,014407032	0,007608564	0,085612618	0,044048973	0,095347603
8	0,048135918	0,054805431	0,078926297	0,084359672	0,019462518	0,031528576	0,074440651	0,023680608	0,090337035	0,050697909	0,05882999	0,093104831	0,015534835
9	0,01766632	0,027469729	0,060365017	0,034637771	0,056982732	0,090963545	0,033073743	0,036563062	0,014104031	0,065787014	0,002825314	0,094416576	0,060174123
10	0,075331074	0,093939317	0,005691621	0,062309353	0,037834426	0,034140281	0,023912388	0,008945359	0,017209159	0,032999742	0,050296182	0,062997257	0,094959292
11	0,057787812	0,025643008	0,078376955	0,087438424	0,035312117	0,030493631	0,058777589	0,005975887	0,076436395	0,00200437	0,07505463	0,069437968	0,093819673
12	0,02282259	0,07537816	0,052166785	0,012370043	0,067065857	0,090491813	0,02796202	0,060393551	0,044019866	0,081549287	0,029088425	0,0269347	0,001518284
13	0,00051608	0,0506721	0,068500667	0,098513851	0,030445952	0,029015737	0,092042917	0,070510178	0,027803723	0,019647558	0,021607067	0,025573602	0,027858812
14	0,008634957	0,097534031	0,057497488	0,048482804	0,014297327	0,056943157	0,012349436	0,00214051	0,067838926	0,059703853	0,054591623	0,099381741	0,020547798
15	0,058071887	0,077005782	0,092503652	0,033140522	0,099447309	0,070238872	0,055612125	0,037759791	0,015998053	0,029223342	0,068210359	0,05473879	0,044311027
16	0,027833826	0,080922107	0,027480266	0,065099635	0,050917106	0,040884464	0,075052996	0,034217984	0,081928652	0,091185694	0,080490666	0,017548416	0,058591221
17	0,097298372	0,084852701	0,086663149	0,04918527	0,013203452	0,080947787	0,088249491	0,034886164	0,03103023	0,078638358	0,027210081	0,093652808	0,098262588
