Project Name/TEST													
Project Type/Forward(S)													
Shot Offset/5/meter													
Geophone Interval/5/meter													
Trigger Value/0,25/miliVolt													
Data Count/501													
Record Length/500/microSecond													
Comments/TEST													
Time	Channel-1	Channel-2	Channel-3	Channel-4	Channel-5	Channel-6	Channel-7	Channel-8	Channel-9	Channel-10	Channel-11	Channel-12	Channel-13
0	0,094420706	0,011411075	0,010667455	0,063018868	0,071047965	0,091865914	0,076630815	0,041665893	0,056041983	0,015119414	0,041157866	0,014013047	0,096515249
1	0,021130811	0,011774983	0,047202643	0,017049687	0,020934236	0,060429542	0,067661447	0,093607202	0,020438521	0,047752252	0,068193121	0,075426088	0,001621623
2	0,022375084	0,018189548	0,023708498	0,040412756	0,051369769	0,034274948	0,013455415	0,084840188	0,014588936	0,099804198	0,095951996	0,022587223	0,048511027
3	0,075833383	0,046258705	0,046633491	0,022751106	0,043114846	0,095703526	0,0342449	0,09711146	0,07985284	0,069546607	0,04196874	0,088321481	0,020781537
4	0,042844873	0,080120575	0,003060342	0,089150848	0,062329551	0,069199687	0,086889875	0,01394699	0,029846133	0,068655796	0,09881983	0,043684051	0,014843308
5	0,061297367	0,034593917	0,016270688	0,038780177	0,026898543	0,033565333	0,071867906	0,082744841	0,021339499	0,054910234	0,04833877	0,033984456	0,093833183
6	0,067252576	0,006901357	0,033533731	0,0623224	0,064905692	0,051105433	0,091122502	0,064515838	0,069382478	0,0508	0,053679542	0,074143781	0,024024848
7	0,091248942	0,004116172	0,082856827	0,002188951	0,059441759	0,018862721	0,09520207	0,075411799	0,015873886	0,087045249	0,073950159	0,074728032	0,07464701
8	0,092479022	0,020826546	0,044500363	0,034384277	0,049360039	0,045478168	0,040724773	0,082144948	0,040008724	0,010921215	0,036507064	0,077192621	0,088976632
9	0,013940863	0,031342823	0,016986846	0,082401235	0,079130278	0,023310123	0,038230953	0,014255202	0,067632228	0,094281421	0,094197826	0,007588157	0,034543118
10	0,013193269	0,077347877	0,092734794	0,059677152	0,020993543	0,080562153	0,031112941	0,025890645	0,032441158	0,003040438	0,025302078	0,032903253	0,012374553
11	0,048099401	0,074249345	0,088262065	0,066824651	0,068045606	0,03514434	0,076639011	0,024589875	0,073390754	0,080067463	0,085755047	0,04926501	0,065413391
12	0,015927959	0,050481956	0,004533683	0,070029401	0,031252029	0,037112834	0,074536346	0,086668888	0,014039928	0,048911183	0,008992218	0,032294074	0,073000797
13	0,099756767	0,045714482	0,063740973	0,088012358	0,086987058	0,08531899	0,03899575	0,044398249	0,016568167	0,04230455	0,021144713	0,097659129	0,033746541
14	0,02984089	0,037125535	0,072032216	0,038070549	0,08603424	0,025463989	0,005865913	0,040547531	0,004457702	0,071296016	0,013625619	0,0575579	0,031197875
15	0,044078847	0,024717224	0,063447987	0,021930302	0,024477963	0,027788	0,057157338	0,05527248	0,097312513	0,082952237	0,052419905	0,0131946	0,083143911
16	0,072319552	0,069019129	0,037845078	0,021372553	0,088775903	0,045447798	0,042311924	0,012962088	0,081428167	0,049696871	0,005984156	0,085653303	0,048536573
17	0,080320677	0,065591794	0,062741149	0,009390274	0,058386863	0,012229143	0,055500865	0,07931395	0,017382579	0,035158847	0,034071184	0,004355649	0,039236792
18	0,0554931	0,074129717	0,021271831	0,028394611	0,081085941	0,087207722	0,018228345	0,095409179	0,012744692	0,099710316	0,021759562	0,003874225	0,076243186
19	0,016629967	0,057279976	0,097309774	0,091598967	0,006674941	0,048048083	0,095340526	0,098350267	0,057562415	0,043781722	0,06454617	0,09191678	0,06410602
20	0,088834863	0,046711335	0,031583328	0,093241694	0,033089271	0,035714302	0,080826416	0,070149319	0,060703464	0,080072466	0,051420693	0,033561836	0,021763034
21	0,01826747	0,03373707	0,09664228	0,023872157	0,001069855	0,094340199	0,039803446	0,032365965	0,030312142	0,063929704	0,002257822	0,023434215	0,0679917
22	0,035027172	0,063497881	0,089514479	0,04856798	0,037908873	0,02554729	0,015284157	0,024234385	0,064896366	0,003581409	0,084899569	0,032707084	0,084552745
23	0,005196324	0,041205669	0,031242742	0,051089668	0,033171433	0,095978066	0,032908293	0,035863793	0,063453177	0,080383897	0,071566927	0,02183316	0,091907569
24	0,010682242	0,057771791	0,065591307	0,054866315	0,012654296	0,072626074	0,049696122	0,037108926	0,041126374	0,037254278	0,031414504	0,02267603	0,012590462
25	0,028232314	0,074716767	0,009591265	0,022842763	0,079861093	0,035929878	0,018356808	0,057756266	0,001721064	0,067010205	0,04007898	0,044446291	0,029004449
26	0,058406368	0,012150653	0,099479922	0,033489459	0,006210316	0,074356252	0,01155747	0,069218182	0,075885707	0,030220359	0,079081874	0,002647896	0,056451097
27	0,068620298	0,096276105	0,080144521	0,010516808	0,068581227	0,090356932	0,035011853	0,098602188	0,012722541	0,087789223	0,06088916	0,007975962	0,064330906
28	0,069408818	0,087323965	0,079449577	0,013744318	0,080816292	0,053243661	0,026240614	0,026825514	0,058045424	0,094863047	0,062703038	0,021060386	0,001992669
29	0,08539553	0,018205585	0,035489032	0,034661515	0,055637406	0,058647154	0,095329904	0,088649052	0,091815343	0,057229084	0,043707336	0,017022778	0,004885815
30	0,003297505	0,02590481	0,017297046	0,010001449	0,012973292	0,04376735	0,019158295	0,022427021	0,002149688	0,041889742	0,058869755	0,032998919	0,033600867
31	0,091509217	0,046053829	0,050147979	0,07446976	0,049109926	0,052666793	0,073199825	0,059052562	0,010559899	0,08230436	0,0753603	0,003766519	0,040858981
32	0,013401816	0,073334261	0,094480585	0,098888993	0,045559454	0,070980204	0,06399413	0,072757938	0,072573328	0,09764542	0,022017308	0,00073875	0,084980515
33	0,066911215	0,095614608	0,000958847	0,0692256	0,012480049	0,023202866	0,04673121	0,051983951	0,085710487	0,010257139	0,033764166	0,041824873	0,094836758
34	0,038801866	0,068475285	0,008482635	0,052256396	0,00327271	0,092641951	0,027590471	0,041028769	0,028312807	0,051579669	0,039933239	0,042514434	0,088670224
35	0,032876189	0,047876723	0,00122319	0,04133054	0,091426167	0,009244405	0,039942092	0,087759258	0,034688477	0,085621889	0,042628602	0,031472975	0,053017647
36	0,04114116	0,08567513	0,039352354	0,089413588	0,045157699	0,033715842	0,097626906	0,006908403	0,085619582	0,034101267	0,004372749	0,010655376	0,018376127
37	0,092684167	0,047753919	0,066958637	0,045878334	0,006041376	0,015779912	0,022020892	0,041493686	0,07408636	0,027165913	0,060820324	0,085504642	0,00381288
38	0,046379396	0,058020777	0,096878181	0,047597591	0,069239413	0,081544706	0,073127429	0,082153205	0,09989684	0,056476946	0,021248889	0,065816549	0,029025276
39	0,008872293	0,017979347	0,074401698	0,036622487	0,029353761	0,08459777	0,068373047	0,076864052	0,043435211	0,051330789	0,080894288	0,050436291	0,011941453
40	0,062755672	0,074086681	0,058451268	0,030703014	0,076112489	0,065844051	0,036229221	0,078492326	0,06420075	0,036605997	0,054604111	0,016635649	0,096836645
41	0,056941215	0,075264047	0,022793955	0,020781959	0,001948504	0,092684582	0,00565857	0,017443091	0,071874521	0,091229354	0,011058499	0,046701695	0,050629021
42	0,062587064	0,093278168	0,028775541	0,066689332	0,041803875	0,062953065	0,054330987	0,011634578	0,001660914	0,083367789	0,024604743	0,030153744	0,077157653
43	0,000637675	0,077630385	0,001372529	0,084501838	0,029010344	0,004994648	0,017557621	0,025361128	0,091719171	0,078315953	0,061866246	0,078685103	0,031179525
44	0,050149742	0,027902728	0,031110428	0,021249801	0,030529304	0,098714694	0,052327195	0,021734787	0,073236323	0,009057966	0,0766514	0,076250201	0,079349032
45	0,07714212	0,033346699	0,041920916	0,01603979	0,038195855	0,082484472	0,013621248	0,06658151	0,098817038	0,028267925	0,087404588	0,090892419	0,087682558
46	0,06509932	0,056973123	0,08832536	0,090769965	0,018905448	0,020372019	0,046848362	0,060044563	0,092183085	0,071815938	0,029953542	0,023114534	0,095169812
47	0,028639156	0,080798278	0,025985142	0,002228652	0,093677295	0,098920399	0,044913027	0,054287894	0,033208242	0,083917327	0,041839849	0,013223434	0,040007661
48	0,069684025	0,019055652	0,057744497	0,089614674	0,074162784	0,057687213	0,056028587	0,061982082	0,091965923	0,062203115	0,090306585	0,067909538	0,04044879
49	0,030266257	0,060634261	0,026537796	0,054574339	0,047518365	0,008451249	0,078603006	0,04491112	0,009736441	0,040291482	0,096287347	0,013073508	0,050421322
50	0,030266257	0,02617396	0,079135116	0,067252633	0,063825884	0,084661931	0,064691573	0,064433956	0,055733125	0,028750756	0,051109211	0,044521778	0,076182805
51	0,030266257	0,076637175	0,043876318	0,027894225	0,056145967	0,068162745	0,083181665	0,048064139	0,09481862	0,099806473	0,000441583	0,07439018	0,007271252
52	0,030266257	0,024699379	0,079853605	0,015246153	0,046291082	0,0593516	0,076800557	0,008045766	0,054134245	0,023254248	0,010314912	0,080294059	0,083930209
53	0,030266257	0,015476577	0,049320459	0,061762975	0,097802738	0,052908682	0,040893638	0,070272106	0,001824609	0,027229559	0,051280443	0,06600703	0,069806579
54	0,030266257	0,098442141	0,088105788	0,009878974	0,084524794	0,005937415	0,076742227	0,055695867	0,047333132	0,02894475	0,09522415	0,040768636	0,038629204
55	0,030266257	0,050105713	0,050014289	0,041418677	0,06802838	0,069457623	0,075132436	0,050758014	0,084414868	0,08694694	0,038005178	0,004087573	0,032391931
56	0,030266257	0,075841625	0,068972427	0,038167294	0,099016538	0,065696024	0,082638223	0,088388626	0,043627193	0,00675283	0,036870684	0,062811865	0,015466742
57	0,030266257	0,09000817	0,043889276	0,069595003	0,081589804	0,015816971	0,016973318	0,042378405	0,004316348	0,022483452	0,063589596	0,087920121	0,015314758
58	0,030266257	0,002920479	0,053930121	0,09808738	0,027644711	0,071148693	0,045559223	0,019633843	0,05642422	0,04846432	0,071299588	0,048679006	0,015143559
59	0,030266257	0,014603723	0,084022019	0,050211188	0,076113523	0,055786453	0,034993906	0,028928748	0,012349035	0,075192196	0,003425349	0,025701093	0,091042429
60	0,030266257	0,085215284	0,06379944	0,07719789	0,026107323	0,061548234	0,091502457	0,013430185	0,070733132	0,069259809	0,049347345	0,032545393	0,048908315
61	0,030266257	0,097666083	0,06033048	0,023496479	0,007838794	0,030255134	0,053324102	0,089670034	0,098123903	0,006119767	0,021225999	0,067297877	0,042407368
