Project Name/TEST													
Project Type/Forward-Shot													
Shot Offset/5/meter													
Geophone Interval/5/meter													
Trigger Value/0,25/miliVolt													
Data Count/501													
Record Length/500/microSecond													
Comments/TEST													
Time	Channel-1	Channel-2	Channel-3	Channel-4	Channel-5	Channel-6	Channel-7	Channel-8	Channel-9	Channel-10	Channel-11	Channel-12	Channel-13
0	0,003012238	0,052936393	0,089504612	0,000849423	0,007500503	0,044313738	0,034517031	0,016595213	0,035453913	0,094946089	0,038865291	0,083149866	0,038718641
1	0,086526335	0,027748657	0,014622904	0,051248944	0,025881482	0,01817726	0,004071971	0,006662287	0,029170908	0,093787358	0,081534983	0,029865405	0,076708941
2	0,024480962	0,091323051	0,008623525	0,068927836	0,046391988	0,061076495	0,060030212	0,054959313	0,03053851	0,032814302	0,060514377	0,061696301	0,027192911
3	0,054208383	0,09204547	0,044605881	0,048914076	0,0013306	0,054467078	0,032433536	0,016539325	0,091976676	0,018777402	0,082572982	0,052955327	0,067819665
4	0,093996748	0,095904768	0,07917952	0,039087665	0,064843761	0,095170763	0,006315148	0,067487829	0,088737267	0,005824946	0,083602764	0,017329347	0,048236975
5	0,008205216	0,077655017	0,097752801	0,026051582	0,085503574	0,061254622	0,001243184	0,017865323	0,076235706	0,041993471	0,085078224	0,059102222	0,081246085
6	0,097453585	0,054475493	0,079667385	0,095386381	0,018982114	0,006824664	0,03479203	0,079101627	0,095321641	0,0817339	0,033293705	0,047158408	0,047336878
7	0,085353202	0,07041816	0,049138024	0,058208028	0,066926012	0,083317632	0,008559915	0,055502032	0,021528748	0,073055634	0,032308356	0,073320162	0,005453959
8	0,077982904	0,030670552	0,006908665	0,006210061	0,041371222	0,027797351	0,094686683	0,011028678	0,061495401	0,064902342	0,045697282	0,080643865	0,081851514
9	0,004697137	0,078630261	0,065768575	0,085964672	0,022082325	0,043788723	0,024711964	0,067123156	0,081342534	0,095859272	0,071154624	0,055991935	0,072521449
10	0,093482863	0,044831735	0,039714456	0,051151402	0,03415445	0,012652106	0,003680581	0,005715686	0,049696711	0,002032931	0,036662636	0,023628399	0,090824248
11	0,051144234	0,056568703	0,030932425	0,066661253	0,03545645	0,096545217	0,025256297	0,095585442	0,001766614	0,074091614	0,029850326	0,013246305	0,013579228
12	0,087645578	0,030871903	0,050275048	0,045556472	0,0897927	0,017823284	0,097031505	0,002283969	0,058834666	0,048058581	0,065270042	0,037956656	0,057067342
13	0,098414673	0,032176219	0,071900161	0,024485531	0,08530203	0,081960575	0,000154566	0,034751971	0,036005543	0,013935534	0,023454099	0,062743036	0,03870771
14	0,053064856	0,032354661	0,054810787	0,080083713	0,053827466	0,012533242	0,025591733	0,021354437	0,018123286	0,001090831	0,068537588	0,079065272	0,088397257
15	0,075770941	0,024422446	0,006024489	0,005150735	0,043408688	0,078456027	0,088626399	0,07202051	0,020410897	0,009826353	0,061857307	0,060909972	0,047080855
16	0,097004539	0,00603128	0,029892359	0,026764679	0,071551534	0,002607527	0,044514604	0,073878257	0,054358966	0,070517374	0,088297475	0,045020484	0,068170424
17	0,087331318	0,077965398	0,003295434	0,071428065	0,083906153	0,094104965	0,019446772	0,095610826	0,053025088	0,041800267	0,026415301	0,030671888	0,021142494
18	0,021032757	0,024377526	0,091048785	0,039908612	0,00821294	0,059594269	0,01712029	0,023327037	0,075997053	0,008031897	0,05237324	0,051603401	0,066226863
19	0,057998357	0,073945753	0,035756617	0,009066696	0,056582319	0,01817337	0,036514469	0,094388076	0,06765302	0,064343443	0,053991357	0,095627937	0,050469953
20	0,0159973	0,08057027	0,098768157	0,043352455	0,038349407	0,046029467	0,005050414	0,026722733	0,073397792	0,096419274	0,032403787	0,028373108	0,076819292
21	0,023442208	0,005210929	0,03583312	0,009355966	0,084302396	0,040751914	0,058412763	0,055706832	0,066765886	0,078580273	0,033205753	0,030042594	0,075092954
22	0,002332858	0,075073497	0,052209564	0,085065105	0,054224059	0,011117323	0,019953211	0,046170058	0,028720891	0,081620347	0,008139902	0,077962374	0,016824257
23	0,03453729	0,06449021	0,068997048	0,01064037	0,057383804	0,054508378	0,094865213	0,094388618	0,072582021	0,057143128	0,031171508	0,022754689	0,092522835
24	0,016794828	0,098919972	0,038561515	0,011505215	0,036652276	0,061120965	0,05649333	0,078677698	0,024943605	0,054392151	0,025249265	0,025497476	0,026405117
25	0,095466483	0,023098198	0,001569195	0,067535437	0,045111054	0,072124744	0,080225945	0,035183184	0,099337483	0,059201894	0,012456507	0,033633501	0,033326392
26	0,014605637	0,029796712	0,083951641	0,00560261	0,09122423	0,096060455	0,014578071	0,084766596	0,093903756	0,024867469	0,046457577	0,011312795	0,098274715
27	0,035688405	0,041699386	0,010309116	0,088063746	0,068393388	0,030888307	0,052071212	0,034577888	0,015316901	0,041527634	0,076508446	0,047743025	0,095331612
28	0,028388003	0,000699643	0,053969624	0,060397703	0,091653702	0,05770237	0,077424382	0,067668357	0,065086165	0,054894435	0,062618637	0,030049681	0,000832245
29	0,047127451	0,017124173	0,049058257	0,051918443	0,031649763	0,028821296	0,011747083	0,073846114	0,055075142	0,002116415	0,059093999	0,079237979	0,008577862
30	0,02011149	0,064887549	0,073347325	0,05374443	0,000760999	0,015051648	0,088256284	0,007783425	0,099573856	0,039120299	0,012778885	0,073351936	0,015137512
31	0,029929369	0,096539296	0,048466725	0,048445075	0,013546317	0,000816669	0,085031803	0,030768258	0,055734808	0,012103171	0,029487178	0,049849533	0,005340772
32	0,062872221	0,022095956	0,010680185	0,074040748	0,034617672	0,069011992	0,058277868	0,020365973	0,048422333	0,089750661	0,019598702	0,048819441	0,043835285
33	0,052515336	0,076061033	0,093460983	0,031390479	0,043459976	0,091433887	0,004359412	0,071601788	0,079419252	0,078672833	0,098013705	0,082942763	0,072721193
34	0,020436882	0,093127246	0,031733755	0,058955288	0,010529922	0,019229869	0,017202557	0,06014795	0,066103916	0,005015485	0,065260412	0,086318129	0,09445206
35	0,025144603	0,081736989	0,036955543	0,036744301	0,046709892	0,081690989	0,015772816	0,008358845	0,018542276	0,005693617	0,079535841	0,070869148	0,073919427
36	0,022486892	0,09743745	0,010566867	0,007423138	0,089549322	0,045671102	0,041556545	0,008708655	0,028989895	0,085891206	0,06797903	0,059190932	0,051473745
37	0,087404937	0,071641163	0,030112847	0,02396818	0,001515543	0,071267668	0,027693137	0,002842436	0,001776598	0,007369113	0,002360671	0,088851725	0,040187245
38	0,042461622	0,000354361	0,047660012	0,091056582	0,043580137	0,03206214	0,032783027	0,096763454	0,023364796	0,05224838	0,084061855	0,01052378	0,088657088
39	0,013920916	0,049246213	0,074577219	0,009705539	0,06503763	0,012403755	0,040828372	0,016330158	0,012478375	0,068438353	0,059083882	0,034006645	0,099703142
40	0,089704692	0,070591094	0,083481946	0,054442086	0,078934731	0,097055668	0,068288513	0,038265431	0,099474714	0,073453424	0,08628098	0,09173922	0,065564748
41	0,075159303	0,053838322	0,04357241	0,067850158	0,003608924	0,037123317	0,062225691	0,082272073	0,01444636	0,024929924	0,093861737	0,010376963	0,094310368
42	0,098069635	0,032038834	0,07185506	0,073592961	0,056449365	0,033589226	0,066343977	0,05104174	0,076593795	0,01350391	0,015831868	0,050508972	0,07543358
43	0,020582096	0,003059728	0,010419151	0,081690281	0,085777355	0,070316422	0,094273072	0,000338502	0,077725103	0,00024221	0,088619323	0,036531166	0,015741312
44	0,050248741	0,039066483	0,069546585	0,049601129	0,02916745	0,073302974	0,079620133	0,047613429	0,02568289	0,04936886	0,018698134	0,083325295	0,003654643
45	0,005149814	0,097307945	0,037155836	0,075959736	0,046494594	0,006891186	0,025927975	0,049529668	0,089990638	0,055672498	0,059826126	0,004102434	0,040766202
46	0,031315003	0,044045832	0,02645621	0,026936999	0,056861427	0,082509594	0,039123688	0,051062735	0,068141571	0,073232904	0,012630562	0,054252808	0,023997428
47	0,026916326	0,075697814	0,075865205	0,037615919	0,066088722	0,051599646	0,070332048	0,044766536	0,028322953	0,022890523	0,051741798	0,088135075	0,057706963
48	0,039682624	0,039299462	0,047440003	0,015089351	0,042157189	0,082744988	0,092035091	0,031644067	0,011885628	0,051805342	0,076656275	0,031441733	0,020882552
49	0,058118374	0,012826135	0,010946164	0,027447742	0,033211965	0,001383389	0,064164236	0,020010855	0,005787758	0,038551534	0,00353023	0,092155984	0,034679478
50	0,058118374	0,006484676	0,015565251	0,086095593	0,037199874	0,055492699	0,043957363	0,077813744	0,07700265	0,090674537	0,093562497	0,060450323	0,098135369
51	0,058118374	0,097831883	0,099077348	0,01310861	0,040261987	0,045894118	0,036924	0,092674878	0,02205402	0,020016252	0,058349281	0,009881839	0,008698092
52	0,058118374	0,018470987	0,032356356	0,053024766	0,058495792	0,07518379	0,087184894	0,071521677	0,04680214	0,039645195	0,034099085	0,040627715	0,06908596
53	0,058118374	0,023475823	0,084805075	0,052826696	0,062575407	0,051656295	0,060187645	0,088179467	0,050695945	0,003676885	0,087742423	0,015310921	0,086323579
54	0,058118374	0,020081783	0,073798336	0,040328505	0,030126544	0,063998745	0,01994744	0,056089888	0,019252273	0,032142455	0,085244131	0,000901701	0,052344015
55	0,058118374	0,032996942	0,037163088	0,066395985	0,04013839	0,047410426	0,098047466	0,086181136	0,005647073	0,037682283	0,06511446	0,087955098	0,078349535
56	0,058118374	0,085841263	0,010082767	0,014926152	0,06927964	0,033002851	0,069195722	0,044451681	0,088226144	0,007914284	0,073257373	0,024183451	0,023891704
57	0,058118374	0,098900459	0,086884558	0,035946486	0,032825455	0,030057101	0,004196251	0,058362826	0,018605927	0,066207021	0,087254607	0,081155918	0,09351437
58	0,058118374	0,080587894	0,002676577	0,070846842	0,093471662	0,057490151	0,067603233	0,051727181	0,069813766	0,077752016	0,036366643	0,071898762	0,023676323
59	0,058118374	0,07562548	0,015908498	0,044654312	0,03871819	0,053748213	0,050185827	0,013122858	0,016194976	0,089707235	0,017535243	0,003345046	0,053328745
60	0	0,007604867	0,032449056	0,026638378	0,014128293	0,077265399	0,089970557	0,049309689	0,022623835	0,006308635	0,075219385	0,005177011	0,089613874
61	0,258819045	0,042985259	0,053311775	0,082799032	0,009605213	0,062048571	0,033759768	0,048547147	0,014422004	0,096979882	0,082722145	0,047936164	0,086111041
62	0,5	0,047183146	0,057705726	0,038116641	0,024194234	0,029275626	0,083771971	0,034823276	0,041680168	0,051194489	0,09554235	0,037907361	0,07871116
63	0,707106781	0,006712709	0,061930831	0,013957272	0,009461734	0,056335333	0,071993879	0,023206907	0,09371593	0,084556919	0,082731762	0,08803009	0,013060606
64	0,866025404	0,097514081	0,017677648	0,072350902	0,041831694	0,044012173	0,073517284	0,093436933	0,082883322	0,096418968	0,048152203	0,054081381	0,020636777
65	0,965925826	0,044170407	0,049132339	0,053674496	0,074269904	0,062269916	0,016133385	0,033748538	0,051470824	0,037836076	0,00953464	0,055287693	0,028903435
66	1	0,03109886	0,05656242	0,095420521	0,099704828	0,02461843	0,051403022	0,014926564	0,079202254	0,04325346	0,024973505	0,071848997	0,041727464
67	0,965925826	0,028877931	0,053424993	0,00351181	0,088213226	0,047597977	0,038358484	0,007480566	0,092205746	0,029948442	0,053788459	0,054459419	0,098496385
68	0,866025404	7,76E-06	0,08031955	0,001866403	0,001662691	0,014209481	0,047536466	0,034829507	0,029087127	0,099243969	0,048118656	0,078885021	0,047887038
69	0,707106781	0,03725323	0,043351329	0,084481491	0,01798982	0,007164492	0,010567691	0,021164909	0,093709842	0,024257579	0,086853128	0,01294162	0,096522243
70	0,5	0,066078982	0,036294031	0,01055998	0,078447879	0,057567835	0,024905709	0,073369963	0,044168483	0,039031099	0,07510804	0,049067204	0
