Project Name/TEST													
Project Type/Forward(S)													
Shot Offset/5/meter													
Geophone Interval/5/meter													
Trigger Value/0,25/miliVolt													
Data Count/501													
Record Length/500/microSecond													
Comments/TEST													
Time	Channel-1	Channel-2	Channel-3	Channel-4	Channel-5	Channel-6	Channel-7	Channel-8	Channel-9	Channel-10	Channel-11	Channel-12	Channel-13
0	0,093523172	0,082559806	0,08977396	0,034742776	0,067225913	0,081098988	0,052782623	0,046859887	0,045690106	0,039968939	0,018003551	0,030052186	0,069798539
1	0,071524518	0,020004803	0,008808196	0,006679182	0,022595416	0,025121738	0,063476574	0,073005848	0,044197846	0,0376751	0,018076821	0,078137893	0,056862406
2	0,057933947	0,032268396	0,063393718	0,090972279	0,008880116	0,091190906	0,060835144	0,088517264	0,008010836	0,016389446	0,01051501	0,078576242	0,039796077
3	0,075185718	0,081208511	0,050300177	0,029753664	0,015470344	0,093514229	0,096180448	0,024329325	0,060312038	0,088189076	0,040820927	0,050438984	0,003186058
4	0,07435541	0,049979897	0,092896068	0,06788096	0,008674033	0,085676273	0,006008733	0,07035554	0,028848881	0,036762152	0,092682588	0,09222147	0,073966148
5	0,072665083	0,027173293	0,074187415	0,061965064	0,046941936	0,047116014	0,048320401	0,055808514	0,084359727	0,088903618	0,065057602	0,038246012	0,047401749
6	0,060862286	0,047606589	0,089505384	0,089054858	0,072623171	0,081202453	0,040516367	0,097376805	0,046746182	0,094446853	0,072834373	0,083516442	0,059341547
7	0,018122572	0,091493354	0,033841259	0,000198059	0,009313127	0,072248036	0,035211829	0,078591247	0,092929592	0,065457924	0,072063816	0,040505949	0,08941086
8	0,031926903	0,071036384	0,089943299	0,034875233	0,025692343	0,095395526	0,097426528	5,48E-05	0,080902093	0,056943019	0,064288741	0,088247435	0,076467136
9	0,044683476	0,051877883	0,035180805	0,067712044	0,009331911	0,018934578	0,064753223	0,051308135	0,043167863	0,064246511	0,015610881	0,0107832	0,079468786
10	0,073894899	0,011191143	0,087098229	0,037523479	0,093850804	0,001488775	0,09994429	0,04359003	0,099446359	0,020172022	0,034284289	0,016063671	0,053723424
11	0,072146878	0,087451264	0,016301672	0,081642052	0,068808047	0,039598107	0,023708107	0,008936283	0,091005007	0,019538422	0,032921511	0,022245248	0,052165136
12	0,003150185	0,035722839	0,093606029	0,003832444	0,048843951	0,001446129	0,020260119	0,000455276	0,050725374	0,010592574	0,025267879	0,025978204	0,052640941
13	0,069379513	0,069145581	0,023938558	0,093594112	0,091644091	0,006148974	0,032952391	0,060145131	0,017446359	0,026110084	0,040387525	0,034106174	0,073360294
14	0,075251474	0,08727238	0,084482416	0,00909109	0,01166861	0,089274368	0,070073706	0,09460106	0,087587115	0,089199381	0,065518247	0,074194876	0,015870471
15	0,065399121	0,041993896	0,095340501	0,092544548	0,056774978	0,040077551	0,078885179	0,085842521	0,089978044	0,048434169	0,050265204	0,002625857	0,017710542
16	0,049333557	0,00057156	0,000207696	0,069092918	0,083290731	0,088470258	0,08678665	0,063747589	0,089859565	0,062009632	0,049376119	0,021474763	0,005967814
17	0,027581125	0,093126144	0,051533335	0,050198592	0,021785555	0,031021925	0,043906026	0,071447337	0,089827592	0,03245753	0,064338505	0,058373694	0,068878948
18	0,078211936	0,014802098	0,040378296	0,050005089	0,069367534	0,070209575	0,005064048	0,019827229	0,082005611	0,011193052	0,099411815	0,009103393	0,049795707
19	0,079125398	0,0034796	0,051845804	0,027773703	0,06798974	0,051675387	0,068181201	0,034931952	0,062411548	0,096397496	0,07603603	0,079410904	0,092446741
20	0,05792583	0,06985113	0,095334802	0,017933334	0,044496688	0,045632907	0,03483714	0,099370833	0,088667189	0,099611819	0,015957735	0,057702168	0,050527776
21	0,025116374	0,036410416	0,00315427	0,01706668	0,047429646	0,073661237	0,070028199	0,008651094	0,051600436	0,013821189	0,087416096	0,005062673	0,053888925
22	0,084342048	0,041318814	0,017823777	0,0042355	0,077143586	0,021261016	0,054413171	0,05336323	0,040681684	0,042216189	0,020498042	0,071333368	0,072888781
23	6,88E-05	0,081102942	0,074121547	0,033445232	0,088588952	0,010974844	0,074089665	0,056285802	0,050871048	0,037245147	0,067344362	0,073928323	0,02891504
24	0,008669263	0,061763644	0,007831849	0,020814219	0,099889373	0,018625061	0,025385374	0,053569378	0,082064535	0,072315724	0,030555687	0,048201882	0,032168704
25	0,043468914	0,028331978	0,011157561	0,058780077	0,087243139	0,00809162	0,09487944	0,000318476	0,004307169	0,066672812	0,065510783	0,09241112	0,062187681
26	0,096111488	0,086993603	0,000236928	0,05073613	0,059480647	0,090809078	0,087117371	0,047877623	0,000685107	0,024059354	0,018223747	0,095392983	0,074617985
27	0,050054287	0,056244138	0,043168953	0,091803727	0,071631451	0,056665161	0,075798724	0,024907912	0,068579934	0,004472977	0,019628127	0,072142857	0,095180615
28	0,062969046	0,055652222	0,081434734	0,028854366	0,054762569	0,060637645	0,036325223	0,091205723	0,02103329	0,005064654	0,059525022	0,088377844	0,031730878
29	0,060149656	0,090701312	0,036689747	0,009070196	0,039410308	0,038145136	0,00564638	0,030782365	0,053908043	0,000351086	0,026688177	0,081772293	0,025288536
30	0,09563843	0,027027223	0,019729764	0,065386164	0,010407217	0,050089151	0,072316564	0,096566031	0,073245527	0,072460912	0,093166718	0,010233098	0,0077736
31	0,021426276	0,077441562	0,060336261	0,08782304	0,013781562	0,031298039	0,012163233	0,078679095	0,041613095	0,001896655	0,033106169	0,038294542	0,081980216
32	0,036531037	0,02838308	0,092429741	0,01053729	0,052407884	0,015914007	0,078257315	0,003489385	0,064560753	0,073049287	0,090794326	0,017657727	0,011438851
33	0,034941918	0,065684322	0,027582727	0,061862292	0,043831162	0,082885096	0,099617238	0,022479404	0,060157438	0,085245574	0,046141065	0,064362845	0,050298313
34	0,084776287	0,043590352	0,054398682	0,010897006	0,021141764	0,081549189	0,012861793	0,017609457	0,052852415	0,032347283	0,057383227	0,071788884	0,016789462
35	0,068187042	0,046878885	0,083128629	0,063754226	0,096709025	0,022838778	0,084461025	0,077263849	0,098393063	0,054653533	0,038904861	0,037043559	0,074961942
36	0,03101797	0,081548752	0,069296712	0,098087056	0,071383803	0,095330942	0,032107594	0,006088109	0,085766383	0,0939456	0,030084007	0,04750378	0,047005357
37	0,008433832	0,056512487	0,057729813	0,040416836	0,052696234	0,026284339	0,081684759	0,018792135	0,068823708	0,035968077	0,036753719	0,010558059	0,066168326
38	0,050582507	0,046023475	0,020341582	0,035490277	0,024326544	0,058013194	0,016802447	0,00041202	0,070380846	0,098487111	0,004949348	0,024991462	0,032758949
39	0,087298311	0,066125345	0,090508851	0,037891745	0,059369413	0,098957409	0,001038422	0,068908668	0,001071013	0,0529505	0,079211964	0,072954426	0,06211872
40	0,047789588	0,084766042	0,097793598	0,004287803	0,057569347	0,092080282	0,025175164	0,043212347	0,078194879	0,044395069	0,050950129	0,000281237	0,052821944
41	0,057915114	0,045888905	0,010610944	0,031141004	0,074741828	0,096974994	0,08653261	0,09728988	0,013785515	0,030749443	0,049364547	0,065502599	0,037644436
42	0,06497911	0,020152826	0,09558508	0,035734762	0,08080234	0,063336023	0,04668854	0,017413913	0,004460847	0,054170385	0,062618899	0,056109596	0,06604353
43	0,076193872	0,01335578	0,056809927	0,022344248	0,023516607	0,053365246	0,073497364	0,033686543	0,066768792	0,024229181	0,093432254	0,08940876	0,087521993
44	0,096747444	0,014794503	0,035806768	0,077978786	0,058901072	0,083737707	0,060025458	0,056782333	0,094516759	0,055284401	0,009661366	0,053963787	0,072858612
45	0,086222703	0,045971726	0,044659672	0,055089802	0,002862651	0,017923589	0,059648186	0,049317251	0,000318453	0,04676669	0,042831255	0,042771775	0,023857627
46	0,004169437	0,063190286	0,098800148	0,076021723	0,001677483	0,064774019	0,036979737	0,076801133	0,015887362	0,026272122	0,025833398	0,074958082	0,0087266
47	0,09124871	0,02620865	0,055191483	0,093434222	0,024466969	0,019967067	0,088105874	0,003369539	0,064715994	0,072412306	0,006341664	0,031484308	0,033827003
48	0,075385392	0,081685236	0,024875318	0,058410059	0,043016847	0,026662412	0,079315321	0,002521781	0,094717457	0,00494357	0,011886998	0,064065745	0,007762536
